"","Artist","not","Fri_Sat","ratio"
"132","Demi Lovato",335682,365285,1.08818762995931
"133","Dustin Lynch",219333.5,238515,1.08745358096232
"134","Billie Eilish",325025,353346,1.08713483578186
"135","Wham!",463144,503077.5,1.08622264349749
"136","Quality Control",261170,283478,1.0854156296665
"137","Fifth Harmony",205943.5,223497,1.08523454248374
"138","Shawn Mendes",269589.5,292500,1.08498290920084
"139","Lil Wayne",283349,307207.5,1.08420181472319
"140","YBN Cordae",208881,226359,1.08367443664096
"141","Nicky Jam",305841,331393,1.08354667948378
"142","Mac Miller",282045,305578,1.08343704018862
"143","PARTYNEXTDOOR",204562,221453,1.08257154310185
"144","BLACKPINK",225711,244328.5,1.08248379565019
"145","Rob $tone",220616,238590,1.08147187873953
"146","Niall Horan",286079,309356,1.08136563676467
"147","Lil Uzi Vert",265892,287327,1.08061543784695
"148","Andy Williams",480251,518617.5,1.07988843334007
"149","Social House",298607,322048,1.0785011737836
"150","Dua Lipa",373707,402947,1.07824311559591
"151","Kendrick Lamar",354282.5,381975,1.07816502367461
"152","Bruce Springsteen",277905,299623.5,1.07815080693043
"153","J Balvin",332702,358685.5,1.07809841840446
"154","Adele",239567.5,258214,1.07783401337828
"155","Quavo",319283,344091,1.07769909453369
"156","Trippie Redd",258598.5,278430,1.07668837986299
"157","Wisin",186248,200412,1.0760491387827
"158","6ix9ine",323105,347511,1.07553581653023
"159","Auli'i Cravalho",172131,185084,1.07525082640547
"160","Alec Benjamin",331064,355889.5,1.0749870115748
"161","Mumford & Sons",212788,228509,1.07388104592364
"162","Twenty One Pilots",215823.5,231760,1.07384042979564
"163","Toto",217617,233640,1.07362935800052
"164","Juice WRLD",356659,382780,1.07323802287339
"165","Post Malone",412507,442510,1.07273331119229
"166","Katy Perry",288903,309771,1.07223185636702
"167","Vampire Weekend",260054,278822,1.07216962630838
"168","Drake",315704,338463,1.07208967893977
"169","Wale",197072,211194,1.0716590890639
"170","Julia Michaels",251869,269915,1.07164835688394
"171","YoungBoy Never Broke Again",247829,265472.5,1.07119223335445
"172","Pentatonix",239837.5,256800,1.07072497003179
"173","Lil Peep",320904,343259,1.06966257821654
"174","Chris Brown",224361,239977.5,1.06960434300079
"175","Lil Dicky",365886.5,391274,1.0693862714257
"176","Chance The Rapper",221156.5,236497.5,1.06936716759399
"177","Hozier",238214,254610,1.06882886816056
"178","Journey",188816,201684.5,1.06815365223286
"179","Pardison Fontaine",210758,225100,1.06804961140265
"180","The Weeknd",234462,250408,1.06801102097568
"181","DJ Esco",216270,230943.5,1.067848060295
"182","Smokepurpp",217395,232111.5,1.06769474918926
"183","Ski Mask The Slump God",343915,367179.5,1.06764607533838
"184","Desiigner",187851,200556.5,1.06763605197737
"185","Anita Kerr Singers",402889,430044.5,1.06740193949202
"186","Kevin Gates",148127,158103,1.06734761387188
"187","Starley",388566,414733.5,1.06734377171446
"188","Ariana Grande",393909,420230,1.06682000157397
"189","Danny Ocean",161462,172250,1.06681448266465
"190","Travis Scott",341615.5,364300,1.06640360288102
"191","21 Savage",280435,298996.5,1.06618824326493
"192","Lord Huron",196843,209868,1.06616948532587
"193","French Montana",402813.5,429372,1.06593249729714
"194","Tiësto",359181,382717,1.06552685136463
"195","Zedd",312242.5,332684,1.06546674459755
"196","Nio Garcia",336281,358154,1.06504381752166
"197","2 Chainz",244873,260683,1.06456408015584
"198","Hailee Steinfeld",277551.5,295339,1.06408720543755
"199","G-Eazy",310540,330434.5,1.0640642107297
"200","J. Cole",232297,247050,1.06350921449696
"201","MiC LOWRY",166734.5,177293,1.06332522663276
"202","Khalid",331916,352593,1.06229588209065
"203","Imagine Dragons",283476,301079,1.06209696764453
"204","Enrique Iglesias",190569,202211.5,1.06109335726167
"205","Kanye West",306420.5,325114.5,1.06100766756793
"206","Gucci Mane",292368,310038,1.06043753078312
"207","Lil Mosey",349542,370553,1.06011008691373
"208","T-Pain",202387,214450,1.05960363066798
"209","Shoreline Mafia",221733,234930,1.05951752783753
"210","Mike WiLL Made-It",201452.5,213407,1.05934153212296
"211","Bruno Mars",289241,306370,1.05922051161488
"212","DRAM",253415.5,268364.5,1.05899007756037
"213","Mike Posner",171614.5,181734,1.05896646262408
"214","GASHI",219600,232334,1.05798724954463
"215","Young Thug",248855,263253.5,1.05785899419341
"216","John Legend",325017,343819,1.05784928172988
"217","HRVY",199768.5,211266.5,1.05755662178972
"218","Offset",428987.5,453576,1.05731752090679
"219","Childish Gambino",350059,370059,1.05713322611331
"220","Elvis Presley",346554,366253,1.05684251227803
"221","Metro Boomin",367763.5,388417.5,1.05616109265873
"222","YFN Lucci",213737,225705,1.05599404876086
"223","NOTD",248088,261888,1.05562542323692
